ticket_id,url
15d0f408-2b6b-4f95-a0a8-e3a3ad7962ec,https://192.168.1.18:8000/validate/15d0f408-2b6b-4f95-a0a8-e3a3ad7962ec
34b545eb-e84f-4f8b-9d19-bb6f482c07ed,https://192.168.1.18:8000/validate/34b545eb-e84f-4f8b-9d19-bb6f482c07ed
25b14be8-7063-4412-acf1-a7f0b5289aa6,https://192.168.1.18:8000/validate/25b14be8-7063-4412-acf1-a7f0b5289aa6
9ea82a9e-d1e1-4f3a-b2d7-be0c6710f120,https://192.168.1.18:8000/validate/9ea82a9e-d1e1-4f3a-b2d7-be0c6710f120
8f952bab-9c3a-4d69-9a28-a565f23e45e2,https://192.168.1.18:8000/validate/8f952bab-9c3a-4d69-9a28-a565f23e45e2
05734bdd-4f46-4439-b67d-5134fe410d76,https://192.168.1.18:8000/validate/05734bdd-4f46-4439-b67d-5134fe410d76
3d8a912d-a48c-436a-bf14-c147c1393bea,https://192.168.1.18:8000/validate/3d8a912d-a48c-436a-bf14-c147c1393bea
7a02e00e-cf4d-46d3-838b-9cd078a08155,https://192.168.1.18:8000/validate/7a02e00e-cf4d-46d3-838b-9cd078a08155
5573d7b8-acc8-4550-9c58-0ae4014d0d53,https://192.168.1.18:8000/validate/5573d7b8-acc8-4550-9c58-0ae4014d0d53
32a6140d-c8fc-4080-babe-632316fff794,https://192.168.1.18:8000/validate/32a6140d-c8fc-4080-babe-632316fff794
scan_page,https://192.168.1.18:8000/scan
